neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,321 CATHEDRAL PARKWAY,20C,10026,1.0,,1.0,,,2012.0,10.0,2023-05-15,40.80118916666667,-73.9599334375
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,2101 FREDERICK DOUGLASS BOULEVARD,5B,10026,1.0,,1.0,,,2008.0,595000.0,2023-07-11,40.80287105,-73.9568637013118
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,316 WEST 116 STREET,3A,10026,1.0,,1.0,,,1900.0,1730000.0,2023-11-28,40.8074124,-73.9624361
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,306 WEST 116 STREET,5A,10026,1.0,,1.0,,,2012.0,1030000.0,2023-10-24,40.8074124,-73.9624361
MANHATTAN VALLEY,15 CONDOS - 2-10 UNIT RESIDENTIAL,310 WEST 114TH STREET,2,10026,1.0,,1.0,,,2015.0,785000.0,2023-05-15,40.8033181,-73.95725495
MANHATTAN VALLEY,15 CONDOS - 2-10 UNIT RESIDENTIAL,18 MORNINGSIDE AVENUE,5,10026,1.0,,1.0,,,2007.0,1595000.0,2023-03-13,40.80525475,-73.95800544699736
MANHATTAN VALLEY,29 COMMERCIAL GARAGES,9 WEST 100 STREET,None,10025,0.0,1.0,1.0,5046.0,16488.0,1920.0,4250000.0,2023-11-01,,
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,470 PARK AVENUE,3CE,10022,,,,,,1916.0,4950000.0,2023-08-31,40.7621892,-73.9706351
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,480 PARK AVENUE,17C,10022,,,,,,1929.0,2900000.0,2023-12-20,40.762577,-73.9703558
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,480 PARK AVENUE,21D,10022,,,,,,1929.0,1685000.0,2023-08-25,40.762577,-73.9703558
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,480 PARK AVENUE,5-G,10022,,,,,,1929.0,2275000.0,2023-11-27,40.762577,-73.9703558
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,480 PARK AVENUE,8J,10022,,,,,,1929.0,980000.0,2023-09-13,40.762577,-73.9703558
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,480 PARK AVENUE,SR-21,10022,,,,,,1929.0,85000.0,2023-03-29,40.762577,-73.9703558
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,150 EAST 49TH STREET,8C,10017,,,,,,1923.0,775000.0,2023-07-07,40.7552716,-73.9717679
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,146 E. 49TH STREET,8C,10017,,,,,,1920.0,517500.0,2023-07-20,40.75531410000001,-73.97217498651439
MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS,146 EAST 49TH STREET,7A,10017,,,,,,1920.0,662500.0,2023-05-08,40.75531410000001,-73.97217498651439
